face,face,c,SenseProperty,2
",",",",n,,0
No,no,s,SubjectiveTime,0
sooner,sooner,s,SubjectiveTime,1
minded,minded,s,Negativity,0
to,to,s,Negativity,1
prepare,prepare,s,ProjectAhead,0
for,for,s,ProjectAhead,1
France,france,c,,0
",",",",n,Resistance,0
But,but,s,Resistance,1
straight,straight,s,AbstractConcepts,0
I,i,s,SelfDisclosure,0
am,am,s,SelfDisclosure,1
invited,invited,c,ReportingStates,0
",",",",s,ReportingStates,1
nay,nay,s,OralCues,0
with,with,s,,0
threats,threats,c,Fear,0
",",",",n,,0
Upon,upon,s,,0
a,a,s,,0
penalty,penalty,s,Negativity,0
inioynd,inioynd,s,UNRECOGNIZED,0
to,to,s,,0
come,come,c,ReportingEvents,0
:,:,n,,0
Twere,twere,s,UNRECOGNIZED,0
but,but,s,Resistance,0
a,a,s,,0
childish,childish,s,Anger,0
part,part,s,SceneShift,0
to,to,s,SceneShift,1
say,say,s,Citations,0
him,him,s,PersonPronoun,0
nay,nay,c,OralCues,0
",",",",n,,0
Lorrayne,lorrayne,s,UNRECOGNIZED,0
return,return,s,RecurringEvents,0
this,this,s,,0
answer,answer,s,CommonAuthorities,0
to,to,s,CommonAuthorities,1
thy,thy,s,DirectAddress,0
Lord,lord,c,CommonAuthorities,0
",",",",n,,0
I,i,s,SelfDisclosure,0
mean,mean,s,SelfDisclosure,1
to,to,s,SelfDisclosure,2
visit,visit,s,SceneShift,0
him,him,s,SceneShift,1
as,as,s,TimeDuration,0
he,he,s,TimeDuration,1
requests,requests,c,Request,0
",",",",n,Resistance,0
But,but,s,Resistance,1
how,how,c,Question,0
?,?,s,Question,1
not,not,s,DenyDisclaim,0
seruilely,seruilely,s,UNRECOGNIZED,0
disposd,disposd,s,UNRECOGNIZED,0
to,to,s,,0
bend,bend,c,SpaceRelation,0
",",",",n,Resistance,0
But,but,s,Resistance,1
like,like,s,Resemblances,0
a,a,s,Resemblances,1
conqueror,conqueror,s,PersonProperty,0
to,to,s,,0
make,make,s,Cause,0
him,him,s,Cause,1
bow,bow,c,SenseObject,0
",",",",n,,0
His,his,s,PersonPronoun,0
lame,lame,s,Negativity,0
unpolished,unpolished,s,SubjectivePercept,0
shists,shists,s,UNRECOGNIZED,0
are,are,s,ReportingStates,0
come,come,s,Transformation,0
to,to,s,Transformation,1
light,light,c,Transformation,2
",",",",n,,0
And,and,s,,0
truth,truth,s,StandardsPos,0
has,has,s,,0
pulled,pulled,s,Narrative_Verbs,0
the,the,s,Narrative_Verbs,1
visard,visard,s,UNRECOGNIZED,0
from,from,s,,0
his,his,s,SenseProperty,0
face,face,c,SenseProperty,1
",",",",n,,0
That,that,s,,0
set,set,s,Narrative_Verbs,0
a,a,s,Narrative_Verbs,1
glass,glass,s,SenseObject,0
upon,upon,s,,0
his,his,s,PersonPronoun,0
arrogannce,arrogannce,c,UNRECOGNIZED,0
",",",",n,,0
Dare,dare,s,Curiosity,0
he,he,s,Curiosity,1
command,command,s,ReportingEvents,0
a,a,s,ReportingEvents,1
fealty,fealty,s,StandardsPos,0
in,in,s,,0
me,me,c,FirstPer,0
",",",",n,,0
Tell,tell,s,,0
him,him,s,PersonPronoun,0
the,the,s,SenseObject,0
Crown,crown,s,SenseObject,1
that,that,s,,0
he,he,s,Neutral_Attribution,0
usurps,usurps,c,Neutral_Attribution,1
",",",",s,,0
is,is,s,SelfDisclosure,0
mine,mine,c,SelfDisclosure,1
",",",",n,,0
And,and,s,TimeDuration,0
where,where,s,TimeDuration,1
he,he,s,TimeDuration,2
sets,sets,s,,0
his,his,s,PersonPronoun,0
foot,foot,s,SenseObject,0
he,he,s,Insist,0
ought,ought,s,Insist,1
to,to,s,Insist,2
knele,knele,c,UNRECOGNIZED,0
",",",",n,,0
It,it,s,DenyDisclaim,0
Is,is,s,DenyDisclaim,1
not,not,s,DenyDisclaim,2
a,a,s,,0
petty,petty,s,Negativity,0
Dukedom,dukedom,s,CommonAuthorities,0
that,that,s,,0
I,i,s,Metadiscourse,0
claim,claim,c,Metadiscourse,1
",",",",n,Resistance,0
But,but,s,Resistance,1
all,all,s,Generalization,0
the,the,s,Generalization,1
whole,whole,s,,0
Dominions,dominions,c,CommonAuthorities,0
",",",",s,,0
of,of,s,,0
the,the,s,,0
Realm,realm,c,AbstractConcepts,0
",",",",n,Aside,0
Which,which,s,Aside,1
if,if,s,Contingency,0
with,with,s,Reluctance,0
grudging,grudging,s,Reluctance,1
he,he,s,PersonPronoun,0
refuse,refuse,s,Resistance,0
to,to,s,Resistance,1
yield,yield,c,ReportingEvents,0
",",",",n,,0
I,i,s,FirstPer,0
Will,will,s,PredictedFuture,0
take,take,s,ReportingEvents,0
away,away,s,ReportingEvents,1
those,those,s,,0
borrowed,borrowed,s,AbstractConcepts,0
plumes,plumes,s,AbstractConcepts,1
of,of,s,,0
his,his,c,PersonPronoun,0
",",",",n,,0
And,and,s,,0
send,send,s,ReportingEvents,0
him,him,s,PersonPronoun,0
naked,naked,s,SenseObject,0
to,to,s,,0
the,the,s,,0
wilderness,wilderness,c,SenseProperty,0
.,.,nn,Sequence,0
Then,then,s,Sequence,1
Edward,edward,s,UNRECOGNIZED,0
here,here,s,SpaceRelation,0
in,in,s,SpaceRelation,1
spite,spite,s,Negativity,0
of,of,s,Negativity,1
all,all,s,,0
thy,thy,s,DirectAddress,0
Lords,lords,c,CommonAuthorities,0
",",",",n,,0
I,i,s,FirstPer,0
do,do,s,Intensity,0
pronounce,pronounce,s,CommonAuthorities,0
defyaunce,defyaunce,s,UNRECOGNIZED,0
to,to,s,,0
thy,thy,s,DirectAddress,0
face,face,c,SenseObject,0
.,.,nn,,0
Defiance,defiance,s,Resistance,0
French,french,s,AbstractConcepts,0
man,man,s,PersonProperty,0
we,we,s,,0
rebound,rebound,s,ReportingEvents,0
it,it,s,,0
back,back,c,,0
",",",",n,,0
Even,even,s,SubjectivePercept,0
to,to,s,SpaceRelation,0
the,the,s,SpaceRelation,1
bottom,bottom,s,SpaceRelation,2
of,of,s,SpaceRelation,3
thy,thy,s,DirectAddress,0
masters,masters,s,StandardsPos,0
throat,throat,c,SenseObject,0
",",",",n,,0
And,and,s,,0
be,be,s,ReportingStates,0
it,it,s,,0
spoke,spoke,s,SpaceRelation,0
with,with,s,SpaceRelation,1
reverence,reverence,s,StandardsPos,0
of,of,s,,0
the,the,s,SenseObject,0
King,king,c,SenseObject,1
",",",",n,,0
My,my,s,FirstPer,0
gracious,gracious,s,StandardsPos,0
father,father,s,PersonProperty,0
and,and,s,,0
these,these,s,Immediacy,0
other,other,s,Specifiers,0
Lords,lords,c,CommonAuthorities,0
",",",",n,,0
I,i,s,FirstPer,0
hold,hold,s,,0
thy,thy,s,DirectAddress,0
message,message,s,AbstractConcepts,0
but,but,s,Resistance,0
as,as,s,,0
scurrylous,scurrylous,c,UNRECOGNIZED,0
",",",",n,,0
And,and,s,,0
him,him,s,PersonPronoun,0
that,that,s,,0
sent,sent,s,ReportingEvents,0
thee,thee,s,DirectAddress,0
like,like,s,Resemblances,0
the,the,s,Resemblances,1
lazy,lazy,s,Negativity,0
droane,droane,c,UNRECOGNIZED,0
",",",",n,,0
Crept,crept,s,ReportingEvents,0
up,up,s,,0
by,by,s,,0
stelth,stelth,s,UNRECOGNIZED,0
unto,unto,s,CommonAuthorities,0
the,the,s,SenseObject,0
Eagles,eagles,s,SenseObject,1
nest,nest,c,SenseObject,0
",",",",n,,0
From,from,s,OpenQuery,0
whence,whence,s,OpenQuery,1
well,well,s,SenseObject,0
shake,shake,s,Motions,0
him,him,s,PersonPronoun,0
with,with,s,,0
so,so,s,,0
rough,rough,s,SenseProperty,0
a,a,s,,0
storm,storm,c,SenseObject,0
",",",",n,,0
As,as,s,,0
others,others,s,Uncertainty,0
shall,shall,s,ProjectAhead,0
be,be,s,ProjectAhead,1
warned,warned,s,ReportingEvents,0
by,by,s,,0
his,his,s,PersonPronoun,0
harm,harm,c,Negativity,0
",",",",nn,,0
Bid,bid,s,ReportingEvents,0
him,him,s,ReportingEvents,1
leave,leave,s,,0
of,of,s,,0
the,the,s,SenseObject,0
Lions,lions,s,SenseObject,1
case,case,s,AbstractConcepts,0
he,he,s,Neutral_Attribution,0
wears,wears,c,Neutral_Attribution,1
",",",",n,,0
Least,least,s,Comparison,0
meeting,meeting,s,SpaceRelation,0
with,with,s,SpaceRelation,1
the,the,s,SenseObject,0
Lion,lion,s,SenseObject,1
in,in,s,,0
the,the,s,,0
feeld,feeld,c,UNRECOGNIZED,0
",",",",n,,0
He,he,s,PersonPronoun,0
chance,chance,s,Contingency,0
to,to,s,,0
tear,tear,s,Negativity,0
him,him,s,PersonPronoun,0
peecemede,peecemede,s,UNRECOGNIZED,0
for,for,s,,0
his,his,s,PersonPronoun,0
pride,pride,c,StandardsPos,0
.,.,nn,,0
^^,^^,c,UNRECOGNIZED,0
e,e,s,LangRef,0
soundest,soundest,s,Comparison,0
counsel,counsel,s,PersonProperty,0
I,i,s,Contingency,0
can,can,s,Contingency,1
give,give,s,,0
his,his,s,StandardsPos,0
grace,grace,c,StandardsPos,1
",",",",n,,0
Is,is,s,ProjectAhead,0
to,to,s,ProjectAhead,1
surrender,surrender,s,Resistance,0
ere,ere,s,ProjectBack,0
he,he,s,PersonPronoun,0
be,be,s,ReportingStates,0
constraynd,constraynd,c,UNRECOGNIZED,0
.,.,n,,0
A,a,s,,0
voluntary,voluntary,s,SubjectivePercept,0
mischief,mischief,s,StandardsNeg,0
has,has,s,,0
less,less,s,Comparison,0
scorn,scorn,c,Negative_Relation,0
",",",",n,,0
Then,then,s,ReasonForward,0
when,when,s,ReasonForward,1
reproach,reproach,s,Anger,0
with,with,s,,0
violence,violence,s,StandardsNeg,0
is,is,s,ReportingStates,0
borne,borne,c,ReportingStates,0
",",",",nn,ReportingStates,1
Regenerate,regenerate,s,RecurringEvents,0
Traitor,traitor,c,StandardsNeg,0
",",",",s,,0
viper,viper,s,SenseObject,0
to,to,s,SceneShift,0
the,the,s,SceneShift,1
place,place,c,SceneShift,2
",",",",n,SpaceRelation,0
Where,where,s,SpaceRelation,1
thou,thou,s,DirectAddress,0
was,was,s,ProjectBack,0
fostred,fostred,s,UNRECOGNIZED,0
in,in,s,,0
thine,thine,s,UNRECOGNIZED,0
infancy,infancy,c,PersonProperty,0
:,:,n,,0
Bear,bear,s,SenseObject,0
thou,thou,s,DirectAddress,0
a,a,s,,0
part,part,s,,0
in,in,s,,0
this,this,s,,0
conspiracy,conspiracy,c,Resistance,0
?,?,nn,Question,0
Lorraine,lorraine,s,AbstractConcepts,0
behold,behold,s,SpaceRelation,0
the,the,s,,0
