my,my,s,FirstPer,0
tail,tail,c,SenseObject,0
",",",",nn,,0
Why,why,s,Question,0
come,come,s,RecurringEvents,0
again,again,s,RecurringEvents,1
son,son,s,PersonProperty,0
art,art,s,AbstractConcepts,0
thou,thou,s,DirectAddress,0
grown,grown,s,ReportingEvents,0
so,so,s,,0
short,short,c,SenseProperty,0
",",",",nn,,0
Gogges,gogges,s,UNRECOGNIZED,0
wounds,wounds,s,Negativity,0
who,who,s,Future_Question,0
would,would,s,Future_Question,1
be,be,s,ReportingStates,0
used,used,s,ReportingEvents,0
after,after,s,Sequence,0
such,such,s,Specifiers,0
a,a,s,Specifiers,1
sort,sort,c,AbstractConcepts,0
.,.,n,Contingency,0
Without,without,s,Contingency,1
my,my,s,FirstPer,0
help,help,s,Positivity,0
thou,thou,s,DirectAddress,0
syttest,syttest,s,UNRECOGNIZED,0
like,like,s,Resemblances,0
a,a,s,Resemblances,1
Whelpe,whelpe,c,UNRECOGNIZED,0
",",",",n,,0
And,and,s,,0
know,know,s,Uncertainty,0
not,not,s,Uncertainty,1
what,what,s,Uncertainty,2
to,to,s,,0
do,do,c,GenericEvents,0
",",",",n,GenericEvents,1
And,and,s,Resistance,0
yet,yet,s,Resistance,1
like,like,s,Resemblances,0
a,a,s,Resemblances,1
slave,slave,s,PersonProperty,0
thou,thou,s,DirectAddress,0
call,call,s,Request,0
me,me,s,Request,1
slave,slave,c,PersonProperty,0
",",",",s,,0
and,and,s,,0
crooked,crooked,s,,0
villayne,villayne,s,UNRECOGNIZED,0
to,to,c,,0
",",",",nn,,0
O,o,s,LangRef,0
Son,son,c,PersonProperty,0
",",",",s,,0
O,o,s,LangRef,0
Boy,boy,c,PersonProperty,0
",",",",s,,0
O,o,s,LangRef,0
Lord,lord,c,CommonAuthorities,0
",",",",s,,0
O,o,s,LangRef,0
Child,child,c,PersonProperty,0
",",",",n,,0
Thou,thou,s,DirectAddress,0
art,art,s,AbstractConcepts,0
my,my,s,FirstPer,0
ground,ground,s,ReportingEvents,0
on,on,s,ReportingEvents,1
thee,thee,s,DirectAddress,0
I,i,s,FirstPer,0
do,do,s,Intensity,0
build,build,c,ReportingEvents,0
",",",",n,,0
Be,be,s,ReportingStates,0
not,not,s,DenyDisclaim,0
displeased,displeased,s,Negativity,0
I,i,s,FirstPer,0
pray,pray,s,Intensity,0
thee,thee,s,DirectAddress,0
with,with,s,Positivity,0
all,all,s,Positivity,1
my,my,s,Positivity,2
heart,heart,c,Positivity,3
",",",",n,,0
And,and,s,,0
look,look,s,ReportingEvents,0
what,what,s,,0
thou,thou,s,DirectAddress,0
gettest,gettest,s,UNRECOGNIZED,0
thou,thou,s,DirectAddress,0
shall,shall,s,ProjectAhead,0
have,have,s,,0
thy,thy,s,DirectAddress,0
part,part,c,,0
",",",",n,,0
If,if,s,Contingency,0
thou,thou,s,DirectAddress,0
can,can,s,StandardsPos,0
compass,compass,s,StandardsPos,1
