pity,pity,s,Sad,0
here,here,c,SpaceRelation,0
",",",",n,SpaceRelation,1
Unto,unto,s,CommonAuthorities,0
that,that,s,,0
reverend,reverend,s,PersonProperty,0
fate-afflicted,fate-afflicted,s,UNRECOGNIZED,0
King,king,c,PersonProperty,0
;,;,n,,0
For,for,s,PersonProperty,0
whom,whom,c,PersonProperty,1
",",",",s,,0
with,with,s,,0
his,his,s,PersonPronoun,0
disconsolate,disconsolate,s,Sad,0
son,son,s,PersonProperty,0
(,(,c,,0
my,my,s,FirstPer,0
friend,friend,n,StandardsPos,0
And,and,s,,0
plighted,plighted,s,Negativity,0
Brother,brother,c,PersonProperty,0
),),s,,0
I,i,s,FirstPer,0
here,here,s,SpaceRelation,0
kneel,kneel,s,Motions,0
as,as,s,,0
Suitor,suitor,c,PersonProperty,0
.,.,n,,0
Oh,oh,s,OralCues,0
my,my,s,FirstPer,0
most,most,s,Comparison,0
Noble,noble,s,StandardsPos,0
Father,father,c,PersonProperty,0
",",",",s,,0
still,still,s,Updates,0
retain,retain,n,ReportingEvents,0
The,the,s,,0
seal,seal,s,SenseObject,0
of,of,s,StandardsPos,0
honor,honor,s,StandardsPos,1
and,and,s,,0
religion,religion,c,AbstractConcepts,0
",",",",n,,0
A,a,s,,0
Kingdom,kingdom,s,CommonAuthorities,0
rightly,rightly,s,StandardsPos,0
possessed,possessed,s,ReportingEvents,0
by,by,s,,0
course,course,c,AbstractConcepts,0
",",",",n,,0
Contains,contains,s,ReportingEvents,0
more,more,s,Comparison,0
joy,joy,s,Positivity,0
than,than,s,Comparison,0
is,is,s,ReportingStates,0
usurpt,usurpt,s,UNRECOGNIZED,0
by,by,s,Resistance,0
force,force,c,Resistance,1
.,.,nn,,0
The,the,s,PersonProperty,0
Boy,boy,s,PersonProperty,1
has,has,s,,0
almost,almost,s,SubjectivePercept,0
changed,changed,s,ReportingEvents,0
us,us,c,Inclusive,0
.,.,nn,,0
He,he,s,PersonPronoun,0
cooles,cooles,s,UNRECOGNIZED,0
--,--,s,,0
my,my,s,DirectAddress,0
Lord,lord,c,DirectAddress,1
",",",",s,,0
remember,remember,s,ProjectBack,0
you,you,s,DirectAddress,0
are,are,s,DirectAddress,1
possessed,possessed,c,ReportingStates,0
.,.,nn,ReportingStates,1
What,what,c,,0
",",",",s,,0
with,with,s,Specifiers,0
the,the,s,Specifiers,1
Devil,devil,c,AbstractConcepts,0
?,?,nn,Question,0
The,the,s,StandardsNeg,0
Devil,devil,c,StandardsNeg,1
!,!,s,,0
the,the,s,,0
Dukedom,dukedom,c,CommonAuthorities,0
",",",",s,,0
the,the,s,,0
Kingdom,kingdom,c,CommonAuthorities,0
",",",",s,,0
Lydia,lydia,c,UNRECOGNIZED,0
.,.,n,,0
All,all,s,,0
pant,pant,s,Motions,0
under,under,s,DirectAddress,0
your,your,s,DirectAddress,1
Scepter,scepter,c,SenseObject,0
;,;,s,,0
the,the,s,,0
sway's,sway's,s,UNRECOGNIZED,0
yours,yours,c,DirectAddress,0
",",",",n,,0
Be,be,s,ReportingStates,0
not,not,s,DenyDisclaim,0
bought,bought,s,ReportingEvents,0
out,out,s,ReportingEvents,1
with,with,s,Specifiers,0
words,words,c,Specifiers,1
",",",",s,,0
a,a,s,,0
Kingdome's,kingdome's,s,UNRECOGNIZED,0
dear,dear,c,Positivity,0
",",",",n,,0
Kiss,kiss,s,Positivity,0
fortune,fortune,c,ProjectAhead,0
",",",",s,,0
keep,keep,s,DirectAddress,0
your,your,s,DirectAddress,1
mind,mind,c,SubjectivePercept,0
",",",",s,,0
and,and,s,,0
keep,keep,s,DirectAddress,0
your,your,s,DirectAddress,1
state,state,c,,0
",",",",n,,0
You,you,s,DirectAddress,0
Are,are,s,DirectAddress,1
laughed,laughed,s,SubjectivePercept,0
at,at,s,SubjectivePercept,1
if,if,s,Contingency,0
you,you,s,DirectAddress,0
prove,prove,s,Confidence,0
compassionate,compassionate,c,StandardsPos,0
.,.,nn,,0
Thanks,thanks,s,Acknowledge,0
to,to,s,Acknowledge,1
Mazeres,mazeres,c,UNRECOGNIZED,0
",",",",s,,0
he,he,s,Neutral_Attribution,0
has,has,s,Neutral_Attribution,1
refresht,refresht,s,UNRECOGNIZED,0
our,our,s,Inclusive,0
spirits,spirits,c,SubjectivePercept,0
",",",",n,,0
Zenarchus,zenarchus,c,UNRECOGNIZED,0
",",",",s,,0
it,it,s,,0
is,is,s,ReportingStates,0
thy,thy,s,DirectAddress,0
death,death,s,Negativity,0
if,if,s,Contingency,0
thou,thou,s,DirectAddress,0
proceed,proceed,c,Sequence,0
",",",",n,,0
Thy,thy,s,DirectAddress,0
words,words,s,LangRef,0
we,we,s,,0
threate,threate,c,UNRECOGNIZED,0
",",",",s,,0
rise,rise,s,Motions,0
silent,silent,s,SenseProperty,0
or,or,s,Contingency,0
else,else,s,Contingency,1
bleed,bleed,c,Motions,0
.,.,nn,Question,0
Who,who,s,Question,1
can,can,s,Contingency,0
expect,expect,s,ProjectAhead,0
but,but,s,Resistance,0
blood,blood,s,SenseObject,0
where,where,s,,0
Tyrants,tyrants,s,Negative_Relation,0
govern,govern,c,ReportingEvents,0
?,?,nn,Question,0
We,we,s,ReportingStates,0
are,are,s,ReportingStates,1
not,not,s,Updates,0
yet,yet,s,Updates,1
so,so,s,Anger,0
cruel,cruel,s,Anger,1
to,to,s,,0
thy,thy,s,DirectAddress,0
fortune,fortune,n,ProjectAhead,0
As,as,s,Comparison,0
was,was,s,Comparison,1
Lapyrus,lapyrus,c,UNRECOGNIZED,0
",",",",s,,0
thy,thy,s,DirectAddress,0
own,own,s,ReportingEvents,0
Nephew,nephew,c,PersonProperty,0
",",",",s,,0
treacherous,treacherous,c,Anger,0
;,;,n,,0
That,that,s,,0
stole,stole,s,ReportingEvents,0
upon,upon,s,,0
thy,thy,s,DirectAddress,0
life,life,c,AbstractConcepts,0
",",",",s,,0
beseig'd,beseig'd,s,UNRECOGNIZED,0
thee,thee,s,DirectAddress,0
basely,basely,c,Negativity,0
",",",",n,,0
And,and,s,,0
had,had,s,ProjectBack,0
betrayed,betrayed,s,Anger,0
thee,thee,s,DirectAddress,0
to,to,s,,0
thine,thine,s,UNRECOGNIZED,0
enemies,enemies,s,Negativity,0
anger,anger,n,Anger,0
Had,had,s,Contingency,0
we,we,s,Contingency,1
not,not,s,DenyDisclaim,0
beat,beat,s,Motions,0
his,his,s,Motions,1
strength,strength,s,AbstractConcepts,0
to,to,s,,0
his,his,s,SubjectivePercept,0
own,own,s,SubjectivePercept,1
throat,throat,c,SenseObject,0
;,;,n,,0
And,and,s,,0
made,made,s,Cause,0
him,him,s,Cause,1
shrink,shrink,s,Transformation,0
before,before,s,Inclusive,0
us,us,c,Inclusive,1
",",",",s,Generalization,0
all,all,s,Generalization,1
can,can,s,Contingency,0
tell,tell,n,,0
In,in,s,,0
him,him,s,PersonPronoun,0
it,it,s,ProjectBack,0
was,was,s,ProjectBack,1
monstrous,monstrous,c,Negativity,0
",",",",s,,0
it,it,s,,0
is,is,s,ReportingStates,0
in,in,s,,0
us,us,s,Inclusive,0
but,but,s,Resistance,0
well,well,c,SenseObject,0
;,;,n,,0
A,a,s,,0
trick,trick,s,SubjectivePercept,0
of,of,s,AbstractConcepts,0
war,war,c,AbstractConcepts,1
",",",",s,,0
advantage,advantage,c,StandardsPos,0
",",",",s,,0
policy,policy,c,CommonAuthorities,0
",",",",s,,0
nay,nay,s,Resistance,0
rather,rather,s,Resistance,1
recompense,recompense,c,RecurringEvents,0
;,;,n,,0
There,there,s,ReportingStates,0
Is,is,s,ReportingStates,1
more,more,s,Comparison,0
deceit,deceit,s,Anger,0
in,in,s,StandardsPos,0
peace,peace,c,StandardsPos,1
",",",",s,,0
it,it,s,,0
is,is,s,ReportingStates,0
common,common,s,AbstractConcepts,0
there,there,n,SpaceRelation,0
TO,to,s,SpaceRelation,1
unfold,unfold,s,ReportingEvents,0
young,young,s,SenseProperty,0
heirs,heirs,c,PersonProperty,0
",",",",s,,0
the,the,s,,0
old,old,s,SenseProperty,0
may,may,s,Contingency,0
well,well,s,Contingency,1
stand,stand,s,AbstractConcepts,0
bare,bare,c,SenseProperty,0
.,.,n,,0
You,you,s,DirectAddress,0
have,have,s,DirectAddress,1
your,your,s,DirectAddress,0
life,life,c,DirectAddress,1
",",",",s,,0
be,be,s,ReportingStates,0
thankful,thankful,c,Acknowledge,0
",",",",s,,0
and,and,s,ReportingStates,0
it,it,s,ReportingStates,1
is,is,s,ReportingStates,2
more,more,n,Comparison,0
Than,than,s,Comparison,1
your,your,s,DirectAddress,0
perfidious,perfidious,s,StandardsNeg,0
Nephew,nephew,s,PersonProperty,0
would,would,s,ProjectBack,0
consent,consent,s,CommonAuthorities,0
to,to,c,CommonAuthorities,1
",",",",n,,0
Had,had,s,Contingency,0
he,he,s,Contingency,1
surpised,surpised,s,UNRECOGNIZED,0
you,you,s,DirectAddress,0
first,first,c,Sequence,0
",",",",s,Sequence,1
your,your,s,DirectAddress,0
fate,fate,s,SubjectivePercept,0
is,is,s,ReportingStates,0
cast,cast,c,ReportingEvents,0
",",",",n,,0
The,the,s,,0
sooner,sooner,s,Comparison,0
you,you,s,DirectAddress,0
be,be,s,DirectAddress,1
gone,gone,s,ReportingEvents,0
',',c,,0
twill,twill,s,SenseObject,0
prove,prove,s,Confidence,0
the,the,s,,0
safer,safer,c,StandardsPos,0
.,.,nn,,0
On,on,s,,0
thee,thee,s,DirectAddress,0
Lapyrus,lapyrus,c,UNRECOGNIZED,0
",",",",s,,0
and,and,s,,0
thy,thy,s,DirectAddress,0
treacheries,treacheries,c,Anger,0
",",",",s,,0
fall,fall,n,,0
The,the,s,Negativity,0
heavy,heavy,s,Negativity,1
burden,burden,s,Negativity,0
of,of,s,,0
an,an,s,,0
old,old,s,SenseProperty,0
man's,man's,s,PersonProperty,0
curse,curse,c,Negativity,0
.,.,nn,,0
Your,your,s,DirectAddress,0
Queen,queen,s,PersonProperty,0
with,with,s,,0
her,her,s,PersonPronoun,0
two,two,s,Numbers,0
Infants,infants,s,PersonProperty,0
fled,fled,s,Narrative_Verbs,0
the,the,s,Narrative_Verbs,1
