Uncles,uncles,c,PersonProperty,0
",",",",s,,0
the,the,s,,0
Old,old,s,SenseProperty,0
are,are,s,ReportingStates,0
unfit,unfit,s,StandardsNeg,0
to,to,s,StandardsNeg,1
choose,choose,s,ReportingEvents,0
Wives,wives,s,PersonProperty,0
for,for,s,,0
the,the,s,,0
Young,young,c,SenseProperty,0
.,.,nnn,,0
Men,men,s,PersonProperty,0
should,should,s,Insist,0
look,look,s,ReportingEvents,0
with,with,s,,0
Eyes,eyes,c,SenseObject,0
",",",",s,,0
and,and,s,DenyDisclaim,0
not,not,s,DenyDisclaim,1
with,with,s,,0
Spectacles,spectacles,s,SpaceRelation,0
in,in,s,,0
Affairs,affairs,s,GenericEvents,0
of,of,s,StandardsPos,0
Love,love,c,StandardsPos,1
.,.,nnn,Metadiscourse,0
Nor,nor,s,Metadiscourse,1
would,would,s,Future_Question,0
I,i,s,Future_Question,1
Wed,wed,s,ReportingEvents,0
the,the,s,ReportingEvents,1
Empress,empress,s,CommonAuthorities,0
of,of,s,,0
the,the,s,,0
World,world,c,AbstractConcepts,0
",",",",s,Concessive,0
though,though,s,Concessive,1
she,she,s,PersonPronoun,0
were,were,s,ProjectBack,0
the,the,s,Intensity,0
greatest,greatest,s,Intensity,1
Beauty,beauty,n,StandardsPos,0
of,of,s,,0
it,it,c,,0
",",",",s,,0
in,in,s,Specifiers,0
that,that,s,Specifiers,1
dull,dull,s,SenseProperty,0
Method,method,s,AbstractConcepts,0
of,of,s,AbstractConcepts,1
our,our,s,Inclusive,0
grave,grave,s,Negativity,0
Forefathers,forefathers,c,ProjectBack,0
;,;,s,,0
',',c,,0
Sfoot,sfoot,c,UNRECOGNIZED,0
",",",",s,,0
they,they,s,Biographical_Time,0
married,married,s,Biographical_Time,1
as,as,n,TimeDuration,0
they,they,s,TimeDuration,1
purchased,purchased,s,ReportingEvents,0
Lands,lands,c,SpaceRelation,0
",",",",s,,0
agreed,agreed,s,CommonAuthorities,0
upon,upon,s,CommonAuthorities,1
the,the,s,,0
Bargain,bargain,c,AbstractConcepts,0
",",",",s,,0
then,then,s,Sequence,0
entered,entered,s,Sequence,1
and,and,s,,0
took,took,s,Responsibility,0
Possession,possession,nnn,Responsibility,1
They,they,s,,0
Wedded,wedded,s,ReportingEvents,0
Wealth,wealth,s,Positivity,0
to,to,s,,0
Wealth,wealth,c,Positivity,0
",",",",s,,0
when,when,s,,0
the,the,s,,0
chief,chief,s,CommonAuthorities,0
Benefit,benefit,s,StandardsPos,0
of,of,s,,0
Riches,riches,s,Positivity,0
is,is,c,ReportingStates,0
",",",",s,,0
to,to,s,,0
make,make,n,ReportingEvents,0
Election,election,s,GenericEvents,0
of,of,s,Curiosity,0
what,what,s,Curiosity,1
most,most,s,Comparison,0
we,we,s,,0
like,like,nnn,SubjectivePercept,0
And,and,s,,0
if,if,s,Contingency,0
what,what,s,,0
most,most,s,Comparison,0
you,you,s,DirectAddress,0
like,like,s,DirectAddress,1
have,have,s,,0
Riches,riches,s,Positivity,0
too,too,c,Metadiscourse,0
",",",",s,Metadiscourse,1
I,i,s,SelfDisclosure,0
hope,hope,s,SelfDisclosure,1
that,that,s,,0
makes,makes,s,ReportingEvents,0
it,it,s,ReportingEvents,1
not,not,s,DenyDisclaim,0
the,the,s,DenyDisclaim,1
Worse,worse,c,Negativity,0
.,.,nnn,SelfDisclosure,0
To,to,s,SelfDisclosure,1
me,me,s,SelfDisclosure,2
it,it,s,,0
does,does,s,ReportingEvents,0
exceedingly,exceedingly,c,Intensity,0
;,;,s,,0
it,it,s,,0
gives,gives,s,ReportingEvents,0
a,a,s,ReportingEvents,1
Wife,wife,s,PersonProperty,0
too,too,s,,0
great,great,s,Intensity,0
a,a,s,,0
Motive,motive,s,ProjectAhead,0
to,to,s,ProjectAhead,1
be,be,s,StandardsPos,0
proud,proud,c,StandardsPos,1
",",",",n,,0
when,when,s,Contingency,0
she,she,s,Contingency,1
can,can,s,Contingency,2
upbraid,upbraid,s,Negative_Relation,0
her,her,s,PersonPronoun,0
Husband,husband,c,PersonProperty,0
",",",",s,,0
that,that,s,,0
',',c,,0
twas,twas,s,ProjectBack,0
she,she,s,PersonPronoun,0
(,(,c,,0
forsooth,forsooth,c,OralCues,0
",",",",c,,0
),),s,,0
increased,increased,s,Transformation,0
his,his,n,PersonPronoun,0
Fortune,fortune,c,ProjectAhead,0
",",",",s,Comparison,0
whereas,whereas,s,Comparison,1
Marrying,marrying,s,Positivity,0
for,for,s,,0
Beauty,beauty,s,StandardsPos,0
only,only,s,SubjectivePercept,0
pleases,pleases,s,Positivity,0
me,me,c,FirstPer,0
",",",",s,,0
obliges,obliges,s,CommonAuthorities,0
her,her,c,PersonPronoun,0
",",",",s,,0
and,and,s,,0
keeps,keeps,n,TimeDuration,0
her,her,s,PersonPronoun,0
humble,humble,s,SubjectivePercept,0
too,too,nnn,,0
These,these,s,ReportingStates,0
are,are,s,ReportingStates,1
new,new,s,,0
Maxims,maxims,s,StandardsPos,0
Nephew,nephew,c,PersonProperty,0
.,.,nnn,DirectAddress,0
And,and,s,DirectAddress,1
therefore,therefore,s,ReasonForward,0
I,i,s,SelfDisclosure,0
like,like,s,SelfDisclosure,1
them,them,s,,0
the,the,s,Positivity,0
better,better,c,Positivity,1
;,;,s,,0
I,i,s,SelfDisclosure,0
have,have,s,SelfDisclosure,1
seen,seen,s,SpaceRelation,0
fo,fo,s,,0
much,much,s,Intensity,0
Mischief,mischief,s,StandardsNeg,0
happen,happen,s,SceneShift,0
by,by,n,SceneShift,1
following,following,s,Sequence,0
the,the,s,Sequence,1
Old,old,c,SenseProperty,0
",",",",s,,0
that,that,s,,0
I,i,s,SelfDisclosure,0
am,am,s,SelfDisclosure,1
resolved,resolved,s,Promise,0
to,to,s,Promise,1
try,try,s,ProjectAhead,0
some,some,s,Uncertainty,0
fresh,fresh,s,Innovations,0
Experiments,experiments,nnn,Innovations,1
',',c,,0
Twould,twould,s,UNRECOGNIZED,0
be,be,s,ReportingStates,0
an,an,s,ReportingStates,1
Injustice,injustice,s,StandardsNeg,0
to,to,s,Generalization,0
all,all,s,Generalization,1
Humane,humane,s,StandardsPos,0
Kind,kind,c,Positivity,0
",",",",s,,0
if,if,s,Contingency,0
still,still,s,Updates,0
the,the,s,,0
Rich,rich,s,Positivity,0
should,should,s,Insist,0
only,only,s,Insist,1
Wed,wed,n,ReportingEvents,0
the,the,s,ReportingEvents,1
Rich,rich,c,Positivity,0
",",",",s,,0
the,the,s,,0
World,world,s,AbstractConcepts,0
would,would,s,Contingency,0
then,then,s,Contingency,1
consist,consist,s,ReportingEvents,0
only,only,s,SubjectivePercept,0
of,of,s,,0
Usurers,usurers,s,StandardsNeg,0
and,and,s,,0
Beggars,beggars,c,PersonProperty,0
:,:,s,,0
But,but,s,Resistance,0
if,if,s,Contingency,0
Rich,rich,n,PersonProperty,0
Men,men,s,PersonProperty,1
marry,marry,s,Positivity,0
the,the,s,StandardsNeg,0
poor,poor,s,StandardsNeg,1
and,and,s,StandardsPos,0
handsome,handsome,s,StandardsPos,1
Women,women,c,PersonProperty,0
",",",",s,,0
and,and,s,,0
the,the,s,,0
Rich,rich,s,PersonProperty,0
Women,women,s,PersonProperty,1
the,the,s,StandardsNeg,0
Poor,poor,s,StandardsNeg,1
and,and,s,StandardsPos,0
handsome,handsome,n,StandardsPos,1
Men,men,c,PersonProperty,0
",",",",s,,0
the,the,s,,0
Gifts,gifts,s,Positive_Attribution,0
of,of,s,Positive_Attribution,1
Nature,nature,c,AbstractConcepts,0
",",",",s,,0
and,and,s,,0
of,of,s,Contingency,0
Fortune,fortune,c,Contingency,1
",",",",s,,0
will,will,s,PredictedFuture,0
be,be,s,PredictedFuture,1
equally,equally,s,Comparison,0
distributed,distributed,c,ReportingStates,0
;,;,s,ReportingStates,1
Delight,delight,n,Positivity,0
and,and,s,,0
Wealth,wealth,s,Positivity,0
so,so,s,,0
shared,shared,s,ReportingEvents,0
will,will,s,PredictedFuture,0
restore,restore,s,StandardsPos,0
to,to,s,StandardsPos,1
both,both,s,Metadiscourse,0
the,the,s,Metadiscourse,1
Sexes,sexes,s,AbstractConcepts,0
that,that,s,,0
Happiness,happiness,c,Positivity,0
",",",",s,Aside,0
which,which,s,Aside,1
the,the,n,,0
Old,old,s,SenseProperty,0
formal,formal,s,AbstractConcepts,0
Ways,ways,s,Specifiers,0
of,of,s,Specifiers,1
acting,acting,s,ReportingEvents,0
have,have,s,,0
so,so,s,SubjectiveTime,0
long,long,s,SubjectiveTime,1
deprived,deprived,s,StandardsNeg,0
them,them,s,StandardsNeg,1
of,of,nnn,StandardsNeg,2
Young,young,s,SenseProperty,0
and,and,s,StandardsPos,0
handsome,handsome,s,StandardsPos,1
is,is,s,ReportingStates,0
Portion,portion,s,SenseObject,0
enough,enough,s,SubjectivePercept,0
to,to,s,SubjectivePercept,1
him,him,s,PersonPronoun,0
that,that,s,,0
needs,needs,s,Insist,0
not,not,s,Insist,1
any,any,c,Intensity,0
.,.,nnn,Intensity,1
Notwithstanding,notwithstanding,s,Resistance,0
these,these,s,Immediacy,0
fine,fine,s,Positivity,0
Axioms,axioms,c,CommonAuthorities,0
",",",",s,,0
pray,pray,s,Intensity,0
visit,visit,s,SceneShift,0
them,them,c,SceneShift,1
",",",",s,,0
or,or,s,Metadiscourse,0
at,at,s,Metadiscourse,1
least,least,s,Metadiscourse,2
show,show,s,ReportingEvents,0
us,us,s,Inclusive,0
better,better,n,StandardsPos,0
Reasons,reasons,s,StandardsPos,1
why,why,s,Question,0
you,you,s,DirectAddress,0
will,will,s,PredictedFuture,0
not,not,nnn,PredictedFuture,1
Why,why,s,Curiosity,0
it,it,s,Curiosity,1
is,is,s,ReportingStates,0
Reason,reason,s,StandardsPos,0
enough,enough,c,SubjectivePercept,0
",",",",s,,0
that,that,s,,0
thus,thus,s,ReasonForward,0
you,you,s,DirectAddress,0
press,press,s,Insist,0
us,us,s,Insist,1
to,to,s,Insist,2
it,it,c,,0
",",",",s,,0
I,i,s,FirstPer,0
hate,hate,s,Negativity,0
Constraint,constraint,s,Resistance,0
in,in,s,,0
any,any,n,Specifiers,0
thing,thing,c,Specifiers,1
",",",",s,,0
and,and,s,,0
in,in,s,Positivity,0
Love,love,s,Positivity,1
above,above,s,Intensity,0
all,all,s,Intensity,1
things,things,nnn,Uncertainty,0
Yes,yes,c,ConfirmedThght,0
",",",",s,ConfirmedThght,1
