HA,ha,c,OralCues,0
makes,makes,s,SelfDisclosure,0
me,me,n,SelfDisclosure,1
To,to,s,,0
tell,tell,s,DirectAddress,0
you,you,s,DirectAddress,1
all,all,c,,0
",",",",s,,0
it,it,s,Procedures,0
is,is,s,Procedures,1
by,by,s,Procedures,2
her,her,s,PersonPronoun,0
express,express,s,Citations,0
order,order,n,AbstractConcepts,0
That,that,s,,0
I,i,s,SelfDisclosure,0
have,have,s,SelfDisclosure,1
uttered,uttered,s,ReportingEvents,0
this,this,s,,0
secret,secret,s,AbstractConcepts,0
to,to,s,DirectAddress,0
you,you,n,DirectAddress,1
Of,of,s,Specifiers,0
such,such,s,Specifiers,1
importance,importance,c,Curiosity,0
;,;,s,Resistance,0
but,but,s,Resistance,1
you,you,s,Insist,0
must,must,s,Insist,1
be,be,s,ReportingStates,0
silent,silent,n,SenseProperty,0
And,and,s,,0
discreet,discreet,c,StandardsPos,0
",",",",s,,0
if,if,s,Contingency,0
yov'll,yov'll,s,UNRECOGNIZED,0
profit,profit,s,StandardsPos,0
by,by,s,StandardsPos,1
the,the,s,,0
knowledge,knowledge,c,CommonAuthorities,0
.,.,nn,Resistance,0
But,but,s,Resistance,1
may,may,s,Contingency,0
I,i,s,FirstPer,0
not,not,s,DenyDisclaim,0
at,at,s,SubjectivePercept,0
least,least,s,SubjectivePercept,1
acquaint,acquaint,s,ReportingEvents,0
her,her,s,ReportingEvents,1
brother,brother,n,PersonProperty,0
With,with,s,,0
my,my,s,FirstPer,0
good,good,s,Positivity,0
fortune,fortune,c,Positivity,1
?,?,s,Question,0
he,he,s,Responsibility,0
is,is,s,Responsibility,1
bound,bound,s,Responsibility,2
by,by,s,,0
friendship,friendship,n,Positivity,0
To,to,s,,0
favor,favor,s,Positivity,0
me,me,c,FirstPer,0
",",",",s,,0
and,and,s,,0
I,i,s,Insist,0
should,should,s,Insist,1
do,do,s,Intensity,0
him,him,s,PersonPronoun,0
wrong,wrong,n,StandardsNeg,0
To,to,s,ProjectAhead,0
disguise,disguise,s,ProjectAhead,1
any,any,s,Specifiers,0
thing,thing,s,Specifiers,1
to,to,s,PersonPronoun,0
him,him,c,PersonPronoun,1
.,.,nn,,0
Oh,oh,c,OralCues,0
!,!,s,,0
Sir,sir,c,PersonProperty,0
",",",",n,,0
That,that,s,Specifiers,0
Is,is,s,Specifiers,1
it,it,s,,0
my,my,s,FirstPer,0
Mistress,mistress,c,PersonProperty,0
",",",",s,,0
dreadeth,dreadeth,c,UNRECOGNIZED,0
",",",",s,,0
believe,believe,s,PrivateThinking,0
me,me,c,FirstPer,0
",",",",n,,0
Above,above,s,Intensity,0
all,all,s,Intensity,1
things,things,c,Uncertainty,0
:,:,s,,0
so,so,s,Updates,0
far,far,s,Updates,1
you,you,s,Insist,0
must,must,s,Insist,1
be,be,s,ReportingStates,0
from,from,n,,0
Acquainting,acquainting,s,ReportingEvents,0
him,him,s,PersonPronoun,0
therewith,therewith,c,CommonAuthorities,0
",",",",s,,0
that,that,s,DirectAddress,0
you,you,s,DirectAddress,1
should,should,s,Insist,0
fear,fear,n,Fear,0
Least,least,s,Comparison,0
he,he,s,PersonPronoun,0
might,might,s,Contingency,0
have,have,s,Contingency,1
the,the,s,,0
least,least,s,Comparison,0
suspicion,suspicion,s,Negativity,0
of,of,s,,0
it,it,c,,0
:,:,n,,0
Know,know,s,Confidence,0
you,you,s,DirectAddress,0
not,not,s,Updates,0
yet,yet,s,Updates,1
that,that,s,,0
her,her,s,PersonPronoun,0
inhumane,inhumane,s,StandardsNeg,0
Father,father,c,PersonProperty,0
",",",",n,,0
Will,will,s,PredictedFuture,0
not,not,s,PredictedFuture,1
permit,permit,s,CommonAuthorities,0
her,her,s,CommonAuthorities,1
to,to,s,,0
give,give,s,SubjectivePercept,0
you,you,s,SubjectivePercept,1
her,her,s,SubjectivePercept,2
hand,hand,c,SubjectivePercept,3
",",",",n,,0
That,that,s,ProjectAhead,0
to,to,s,ProjectAhead,1
uphould,uphould,s,UNRECOGNIZED,0
the,the,s,,0
splendor,splendor,s,Positivity,0
of,of,s,,0
his,his,s,PersonPronoun,0
house,house,c,SenseObject,0
",",",",n,,0
He,he,s,PersonPronoun,0
Will,will,s,PredictedFuture,0
raise,raise,s,ReportingEvents,0
his,his,s,PersonPronoun,0
Son,son,s,PersonProperty,0
unto,unto,s,CommonAuthorities,0
his,his,s,PersonPronoun,0
Daughtets,daughtets,s,UNRECOGNIZED,0
cost,cost,c,AbstractConcepts,0
",",",",n,,0
And,and,c,,0
",",",",s,,0
as,as,s,ReasonBackward,0
it,it,s,ReasonBackward,1
is,is,s,ReasonBackward,2
often,often,s,RecurringEvents,0
practiced,practiced,s,ReportingEvents,0
now,now,s,Updates,0
a,a,s,Updates,1
days,days,c,Updates,2
),),n,,0
Tosh,tosh,s,SubjectivePercept,0
one,one,s,Numbers,0
designs,designs,s,AbstractConcepts,0
his,his,s,PersonPronoun,0
goods,goods,c,AbstractConcepts,0
",",",",s,,0
and,and,s,,0
to,to,s,,0
the,the,s,Specifiers,0
other,other,n,Specifiers,1
A,a,s,,0
Monastery,monastery,c,SenseObject,0
?,?,nn,Question,0
I,i,s,FirstPer,0
know,know,s,Confidence,0
well,well,s,Confidence,1
that,that,s,,0
her,her,s,PersonPronoun,0
Father,father,n,PersonProperty,0
Has,has,s,,0
fuch,fuch,s,UNRECOGNIZED,0
a,a,s,,0
purpose,purpose,c,ProjectAhead,0
",",",",s,Resistance,0
but,but,s,Resistance,1
though,though,s,Concessive,0
he,he,s,PersonPronoun,0
be,be,s,ReportingStates,0
of,of,n,,0
A,a,s,,0
nature,nature,s,AbstractConcepts,0
so,so,s,,0
inhumane,inhumane,c,StandardsNeg,0
",",",",s,,0
sure,sure,c,ConfirmedThght,0
",",",",s,ConfirmedThght,1
her,her,s,PersonPronoun,0
brother,brother,n,PersonProperty,0
Is,is,s,DenyDisclaim,0
not,not,s,DenyDisclaim,1
so,so,s,,0
barbarous,barbarous,c,Negativity,0
:,:,s,,0
we,we,s,ReportingStates,0
are,are,s,ReportingStates,1
tied,tied,s,ReportingEvents,0
together,together,n,Inclusive,0
By,by,s,,0
such,such,s,Intensity,0
fair,fair,s,StandardsPos,0
bonds,bonds,s,StandardsPos,0
of,of,s,StandardsPos,1
friendship,friendship,c,StandardsPos,2
",",",",s,,0
that,that,s,,0
I,i,s,FirstPer,0
know,know,n,Confidence,0
He,he,s,PersonPronoun,0
Will,will,s,PredictedFuture,0
mix,mix,s,Motions,0
his,his,s,SubjectivePercept,0
interests,interests,s,SubjectivePercept,1
with,with,s,SubjectivePercept,2
mine,mine,c,FirstPer,0
.,.,nn,,0
If,if,s,Contingency,0
I,i,n,FirstPer,0
May,may,s,Contingency,0
frelie,frelie,s,UNRECOGNIZED,0
speak,speak,s,ReportingEvents,0
my,my,s,SelfDisclosure,0
thoughts,thoughts,s,SelfDisclosure,1
here,here,c,SpaceRelation,0
",",",",s,SpaceRelation,1
